[8, 15, 0, 11, 4, 6, 5, 19, 24]
[8, 0, 11, 4, 6, 5, 15, 19, 24]
[0, 8, 4, 6, 5, 11, 15, 19, 24]
[0, 4, 6, 5, 8, 11, 15, 19, 24]
[0, 4, 5, 6, 8, 11, 15, 19, 24]
[0, 4, 5, 6, 8, 11, 15, 19, 24]
[0, 4, 5, 6, 8, 11, 15, 19, 24]
[0, 4, 5, 6, 8, 11, 15, 19, 24]
[0, 4, 5, 6, 8, 11, 15, 19, 24]
[8, 15, 0, 11, 4, 6, 5, 19, 24]
[8, 0, 11, 4, 6, 5, 15, 19, 24]
[0, 8, 4, 6, 5, 11, 15, 19, 24]
[0, 4, 6, 5, 8, 11, 15, 19, 24]
[0, 4, 5, 6, 8, 11, 15, 19, 24]
[0, 4, 5, 6, 8, 11, 15, 19, 24]
[0, 4, 5, 6, 8, 11, 15, 19, 24]
[0, 4, 5, 6, 8, 11, 15, 19, 24]
[0, 4, 5, 6, 8, 11, 15, 19, 24]
